7b0d25a0-2847-4f16-8021-df6a14c3e5d7,Boo'd Up,Ella Mai,0
7c0b1c6e-6322-46f4-9332-22045017092b,Wine Slow (Remix),Ronnie Flex & Famke Louise,0
7c4d6cfc-be0c-469b-8c24-54f673da3aa8,Kennzeichen B-TK,Capital Bra,1
7d72559c-3348-4a21-9332-6b63beed22f8,Da Zero A Cento,Baby K,1
7e17570f-e185-4556-b79e-fafcf61ffa39,Sun Is Shining,Axwell & Ingrosso,0
7f407368-6ad0-4716-b51f-2d2710ef4de4,X,Nicky Jam & J Balvin,0
8207a714-7479-4bb4-91d0-78307648bb8c,Same Old Love,Selena Gomez,0
82cd7638-4c94-467b-85be-a599f1268f6e,Fotografia,Carl Brave  Francesca Michielin & Fabri Fibra,0
8413dabb-0682-4392-a926-4f2f991d1687,Kaksi Ihmista,Haloo Helsinki!,0
8609c2f3-b72c-497e-92a5-a77fc4dff8db,Pablo,Rvssian & Sfera Ebbasta,1
865a4c28-41e4-48e4-90fd-053771750ae8,Where Are U Now,Skrillex  Diplo & Justin Bieber,0
869bed78-f441-4ca7-aba9-a16ea458316c,Lucid Dreams,Juice WRLD,0
86cf1ce1-f5e7-4ae4-91fe-651c87c57910,Magic,Tim3bomb & Tim Schou,0
876b5328-5d6e-4405-ab3a-cf975c52c8e5,Din Din Din,Ludmilla  MC Pupio & MC Doguinha,0
876e57e5-0171-4e0d-8c03-a39b19011449,Davide,Gemitaiz & Coez,0
89e27ef6-3b33-40cf-96f4-2aa5a8859ffe,Familiar,Liam Payne & J Balvin,1
8a5d114c-3a16-46a0-be21-9a9400b6aeb3,Sommerkroppen,Mads Hansen,0
8b4cc77e-f815-40d9-a698-1256b3570120,Natural,Imagine Dragons,0
8bbbb533-fcb4-4a6b-9134-4fec2b64064e,Me Niego,Reik  Ozuna & Wisin,0
8c097697-f259-4129-8864-20185e4cf702,Mi Cama,Karol G,0
8ce55083-430d-4578-878e-2fc009e14e9c,Ellie,Regi & Jake Reese,0
8fb16ea5-f54c-4525-9da6-e5b1d19b1896,Better Now,Post Malone,0
91f0c425-79fb-442d-9dac-bb2289945b6f,Je Ne Parlais Pas Francais,Namika & Black M,0
9270f058-4909-48be-a0d8-6d87a90a310e,Casanova,Summer Cem & Bausa,1
928f898c-6158-4912-943d-9d19c6700091,Ta Mariniere,Hoshi,0
93dda168-4adc-4d4e-a429-72bb0196c8c4,One Night Stand,Capital Bra,0
945c1797-07d7-44e0-9842-1f4cf03dbc62,Ya No Quiero Na,Lola Indigo,0
946e8621-42da-4d87-a1f6-c9e45b2d434a,Bodyache,Purity Ring,0
94e83f58-e326-491b-aa39-bbe831bb5e1a,Main Hoon Hero Tera,Salman Khan,1
95342cd7-89dc-4fff-8577-d5f2a45f748d,Un Peu De Reve,Vitaa & Claudio Capeo,0
97cf4d9d-8235-4353-aa4e-eafc91bbd5e1,Oui,Sivas  Node & Gilli,1
9ab37bd6-abfc-46be-82e2-25fd228aab01,Lordly,Feder & Alex Aiono,0
9bbd0cf8-a9df-488b-b8e3-ce782ac02420,Sandra's Rose,Drake,1
9c5cfb28-2ee6-46d7-be6c-4629a44d508e,Still,HOV1,0
9c60dc21-e12f-48fe-99f3-cead71c03556,Feel,Mahmut Orhan & Sena Sener,0
9cecbafd-3abe-426d-b1a6-d7cfe667182a,In My Mind,Dynoro & Gigi D'Agostino,0
9e0c1ddd-67b9-4181-a31d-2f8b3b16381f,Mad Love,Sean Paul & David Guetta,0
9f2a92b6-294c-4570-b93e-f800106b085d,Lost On You,LP,0
